Date,Time,Prec
2/13/2011,13:00,0
2/13/2011,19:00,0
2/14/2011,1:00,0
2/14/2011,7:00,0
2/14/2011,13:00,0
2/14/2011,19:00,0.04
2/15/2011,1:00,0
2/15/2011,7:00,0
2/15/2011,13:00,0
2/15/2011,19:00,0
2/16/2011,1:00,0
2/16/2011,7:00,0
2/16/2011,13:00,0
2/16/2011,19:00,0
2/17/2011,1:00,0
2/17/2011,7:00,0
2/17/2011,13:00,0
2/17/2011,19:00,0
2/18/2011,1:00,0
2/18/2011,7:00,0
2/18/2011,13:00,0
2/18/2011,19:00,0
2/19/2011,1:00,0
2/19/2011,7:00,0
2/19/2011,13:00,0
2/19/2011,19:00,0
2/20/2011,1:00,0
2/20/2011,7:00,0
2/20/2011,13:00,0
2/20/2011,19:00,0
2/21/2011,1:00,0.05
2/21/2011,7:00,0.01
2/21/2011,13:00,0
2/21/2011,19:00,0
2/22/2011,1:00,1.97
2/22/2011,7:00,1.24
2/22/2011,13:00,0.01
2/22/2011,19:00,0.01
2/23/2011,1:00,0
2/23/2011,7:00,0
2/23/2011,13:00,0
2/23/2011,19:00,0
2/24/2011,1:00,0
2/24/2011,7:00,0
2/24/2011,13:00,0
2/24/2011,19:00,0.01
2/25/2011,1:00,0.32
2/25/2011,7:00,1.96
2/25/2011,13:00,2.92
2/25/2011,19:00,0.03
2/26/2011,1:00,0
2/26/2011,7:00,0
2/26/2011,13:00,0
2/26/2011,19:00,0
2/27/2011,1:00,0
2/27/2011,7:00,0
2/27/2011,13:00,0
2/27/2011,19:00,0
2/28/2011,1:00,0
2/28/2011,7:00,0.04
2/28/2011,13:00,0
2/28/2011,19:00,0.18
3/1/2011,1:00,0.59
3/1/2011,7:00,0
3/1/2011,13:00,0
3/1/2011,19:00,0
3/2/2011,1:00,0
3/2/2011,7:00,0
3/2/2011,13:00,0
3/2/2011,19:00,0
3/3/2011,1:00,0
3/3/2011,7:00,0
3/3/2011,13:00,0
3/3/2011,19:00,0
3/4/2011,1:00,0
3/4/2011,7:00,0
3/4/2011,13:00,0
3/4/2011,19:00,0
3/5/2011,1:00,0
3/5/2011,7:00,0.01
3/5/2011,13:00,0.04
3/5/2011,19:00,0
3/6/2011,1:00,0
3/6/2011,7:00,0.21
3/6/2011,13:00,1.05
3/6/2011,19:00,1.26
3/7/2011,1:00,0.59
3/7/2011,7:00,0.01
3/7/2011,13:00,0
3/7/2011,19:00,0
3/8/2011,1:00,0
3/8/2011,7:00,0
3/8/2011,13:00,0
3/8/2011,19:00,0
3/9/2011,1:00,0
3/9/2011,7:00,0
3/9/2011,13:00,0
3/9/2011,19:00,0.05
3/10/2011,1:00,0.48
3/10/2011,7:00,1.51
3/10/2011,13:00,2.23
3/10/2011,19:00,1.41
3/11/2011,1:00,3.19
3/11/2011,7:00,0.04
3/11/2011,13:00,0
3/11/2011,19:00,0
3/12/2011,1:00,0.02
3/12/2011,7:00,0
3/12/2011,13:00,0
3/12/2011,19:00,0
3/13/2011,1:00,0
3/13/2011,7:00,0
3/13/2011,13:00,0
3/13/2011,19:00,0
3/14/2011,1:00,0
3/14/2011,7:00,0
3/14/2011,13:00,0
3/14/2011,19:00,0
3/15/2011,1:00,0
3/15/2011,7:00,0
3/15/2011,13:00,0
3/15/2011,19:00,0
3/16/2011,1:00,0.02
3/16/2011,7:00,0.14
3/16/2011,13:00,0
3/16/2011,19:00,0
3/17/2011,1:00,0.13
3/17/2011,7:00,0
3/17/2011,13:00,0
3/17/2011,19:00,0
3/18/2011,1:00,0
3/18/2011,7:00,0
3/18/2011,13:00,0
3/18/2011,19:00,0
3/19/2011,1:00,0
3/19/2011,7:00,0
3/19/2011,13:00,0
3/19/2011,19:00,0
3/20/2011,1:00,0
3/20/2011,7:00,0
3/20/2011,13:00,0
3/20/2011,19:00,0
3/21/2011,1:00,0
3/21/2011,7:00,0.01
3/21/2011,13:00,0.17
3/21/2011,19:00,0
3/22/2011,1:00,0.16
3/22/2011,7:00,0
3/22/2011,13:00,0.01
3/22/2011,19:00,0
3/23/2011,1:00,0.04
3/23/2011,7:00,1.22
3/23/2011,13:00,0.05
3/23/2011,19:00,0.48
3/24/2011,1:00,0.57
3/24/2011,7:00,0.15
3/24/2011,13:00,0.14
3/24/2011,19:00,0.03
3/25/2011,1:00,0.01
3/25/2011,7:00,0
3/25/2011,13:00,0
3/25/2011,19:00,0
3/26/2011,1:00,0
3/26/2011,7:00,0
3/26/2011,13:00,0
3/26/2011,19:00,0
3/27/2011,1:00,0
3/27/2011,7:00,0.18
3/27/2011,13:00,0.09
3/27/2011,19:00,0
3/28/2011,1:00,0
3/28/2011,7:00,0
3/28/2011,13:00,0
3/28/2011,19:00,0
3/29/2011,1:00,0
3/29/2011,7:00,0
3/29/2011,13:00,0
3/29/2011,19:00,0
3/30/2011,1:00,0
3/30/2011,7:00,0
3/30/2011,13:00,0
3/30/2011,19:00,0.15
3/31/2011,1:00,0.89
3/31/2011,7:00,0.05
3/31/2011,13:00,0.02
3/31/2011,19:00,0.07
4/1/2011,1:00,0.24
4/1/2011,7:00,0.2
4/1/2011,13:00,0.03
4/1/2011,19:00,0.04
4/2/2011,1:00,0
4/2/2011,7:00,0
4/2/2011,13:00,0
4/2/2011,19:00,0.03
4/3/2011,1:00,0
4/3/2011,7:00,0
4/3/2011,13:00,0
4/3/2011,19:00,0
4/4/2011,1:00,0.19
4/4/2011,7:00,0
4/4/2011,13:00,0
4/4/2011,19:00,0
4/5/2011,1:00,0
4/5/2011,7:00,0.11
4/5/2011,13:00,0.55
4/5/2011,19:00,0
4/6/2011,1:00,0
4/6/2011,7:00,0
4/6/2011,13:00,0
4/6/2011,19:00,0
4/7/2011,1:00,0
4/7/2011,7:00,0
4/7/2011,13:00,0
4/7/2011,19:00,0
4/8/2011,1:00,0
4/8/2011,7:00,0.21
4/8/2011,13:00,0.28
4/8/2011,19:00,0.5
4/9/2011,1:00,0.3
4/9/2011,7:00,0.12
4/9/2011,13:00,0.01
4/9/2011,19:00,0.03
4/10/2011,1:00,0.08
4/10/2011,7:00,0.04
4/10/2011,13:00,0.05
4/10/2011,19:00,0
4/11/2011,1:00,0
4/11/2011,7:00,0.05
4/11/2011,13:00,0.01
4/11/2011,19:00,0
4/12/2011,1:00,0.4
4/12/2011,7:00,0.05
4/12/2011,13:00,0.23
4/12/2011,19:00,0.86
4/13/2011,1:00,0.1
4/13/2011,7:00,0.04
4/13/2011,13:00,0.06
4/13/2011,19:00,0.03
4/14/2011,1:00,0
4/14/2011,7:00,0
4/14/2011,13:00,0
4/14/2011,19:00,0
4/15/2011,1:00,0
4/15/2011,7:00,0
4/15/2011,13:00,0
4/15/2011,19:00,0
4/16/2011,1:00,0
4/16/2011,7:00,0.05
4/16/2011,13:00,0.94
4/16/2011,19:00,1.65
4/17/2011,1:00,0.8
4/17/2011,7:00,0
4/17/2011,13:00,0
4/17/2011,19:00,0
4/18/2011,1:00,0
4/18/2011,7:00,0
4/18/2011,13:00,0
4/18/2011,19:00,0
4/19/2011,1:00,0
4/19/2011,7:00,0
4/19/2011,13:00,0
4/19/2011,19:00,0
4/20/2011,1:00,0.02
4/20/2011,7:00,0
4/20/2011,13:00,0
4/20/2011,19:00,0
4/21/2011,1:00,0
4/21/2011,7:00,0
4/21/2011,13:00,0
4/21/2011,19:00,0
4/22/2011,1:00,0
4/22/2011,7:00,0
4/22/2011,13:00,0
4/22/2011,19:00,0.67
4/23/2011,1:00,1.68
4/23/2011,7:00,0.15
4/23/2011,13:00,0.02
4/23/2011,19:00,0
4/24/2011,1:00,0
4/24/2011,7:00,0
4/24/2011,13:00,0
4/24/2011,19:00,0
4/25/2011,1:00,1.21
4/25/2011,7:00,0
4/25/2011,13:00,0
4/25/2011,19:00,0
4/26/2011,1:00,0
4/26/2011,7:00,0
4/26/2011,13:00,0
4/26/2011,19:00,0
4/27/2011,1:00,0.1
4/27/2011,7:00,0
4/27/2011,13:00,0.09
4/27/2011,19:00,0.48
4/28/2011,1:00,0
4/28/2011,7:00,0
4/28/2011,13:00,3.34
4/28/2011,19:00,0.03
4/29/2011,1:00,0
4/29/2011,7:00,0
4/29/2011,13:00,0
4/29/2011,19:00,0.01
4/30/2011,1:00,0
4/30/2011,7:00,0
4/30/2011,13:00,0
4/30/2011,19:00,0
5/1/2011,1:00,0
5/1/2011,7:00,0
5/1/2011,13:00,0
5/1/2011,19:00,0.39
5/2/2011,1:00,0
5/2/2011,7:00,0
5/2/2011,13:00,0
5/2/2011,19:00,0
5/3/2011,1:00,0
5/3/2011,7:00,0
5/3/2011,13:00,0
5/3/2011,19:00,0
5/4/2011,1:00,0.09
5/4/2011,7:00,0.28
5/4/2011,13:00,1.87
5/4/2011,19:00,0.05
5/5/2011,1:00,0.21
5/5/2011,7:00,0
5/5/2011,13:00,0
5/5/2011,19:00,0
5/6/2011,1:00,0
5/6/2011,7:00,0
5/6/2011,13:00,0
5/6/2011,19:00,0
5/7/2011,1:00,0.01
5/7/2011,7:00,0
5/7/2011,13:00,0
5/7/2011,19:00,0
5/8/2011,1:00,0
5/8/2011,7:00,0
5/8/2011,13:00,0.24
5/8/2011,19:00,0.44
5/9/2011,1:00,0.09
5/9/2011,7:00,0
5/9/2011,13:00,0
5/9/2011,19:00,0
5/10/2011,1:00,0
5/10/2011,7:00,0
5/10/2011,13:00,0
5/10/2011,19:00,0
5/11/2011,1:00,0
5/11/2011,7:00,0
5/11/2011,13:00,0
5/11/2011,19:00,0
5/12/2011,1:00,0
5/12/2011,7:00,0
5/12/2011,13:00,0
5/12/2011,19:00,0
5/13/2011,1:00,0
5/13/2011,7:00,0
5/13/2011,13:00,0.03
5/13/2011,19:00,0.63
5/14/2011,1:00,0.05
5/14/2011,7:00,0.08
5/14/2011,13:00,0.2
5/14/2011,19:00,0.19
5/15/2011,1:00,0.03
5/15/2011,7:00,0.78
5/15/2011,13:00,0.13
5/15/2011,19:00,1.62
5/16/2011,1:00,1.2
5/16/2011,7:00,0.01
5/16/2011,13:00,0
5/16/2011,19:00,1.09
5/17/2011,1:00,0.18
5/17/2011,7:00,0.04
5/17/2011,13:00,0.62
5/17/2011,19:00,1.56
5/18/2011,1:00,0
5/18/2011,7:00,0.35
5/18/2011,13:00,0.23
5/18/2011,19:00,1.43
5/19/2011,1:00,0
5/19/2011,7:00,0
5/19/2011,13:00,0.21
5/19/2011,19:00,1.4
5/20/2011,1:00,0.02
5/20/2011,7:00,0
5/20/2011,13:00,0.01
5/20/2011,19:00,0.08
5/21/2011,1:00,0.09
5/21/2011,7:00,0
5/21/2011,13:00,0
5/21/2011,19:00,0.04
5/22/2011,1:00,0.04
5/22/2011,7:00,0
5/22/2011,13:00,0
5/22/2011,19:00,0.01
5/23/2011,1:00,0
5/23/2011,7:00,0.55
5/23/2011,13:00,0.04
5/23/2011,19:00,0
5/24/2011,1:00,0
5/24/2011,7:00,0
5/24/2011,13:00,0
5/24/2011,19:00,0
5/25/2011,1:00,0
5/25/2011,7:00,0.51
5/25/2011,13:00,0
5/25/2011,19:00,0.95
5/26/2011,1:00,0
5/26/2011,7:00,0
5/26/2011,13:00,0
5/26/2011,19:00,0
5/27/2011,1:00,0
5/27/2011,7:00,0
5/27/2011,13:00,0
5/27/2011,19:00,0
5/28/2011,1:00,0
5/28/2011,7:00,0
5/28/2011,13:00,0
5/28/2011,19:00,0
5/29/2011,1:00,0.01
5/29/2011,7:00,0
5/29/2011,13:00,0
5/29/2011,19:00,0
5/30/2011,1:00,0
5/30/2011,7:00,0
5/30/2011,13:00,0
5/30/2011,19:00,0
5/31/2011,1:00,0
5/31/2011,7:00,0
5/31/2011,13:00,0
5/31/2011,19:00,0
6/1/2011,1:00,0
6/1/2011,7:00,0
6/1/2011,13:00,0
6/1/2011,19:00,0
6/2/2011,1:00,0
6/2/2011,7:00,0
6/2/2011,13:00,0
6/2/2011,19:00,0
6/3/2011,1:00,0
6/3/2011,7:00,0
6/3/2011,13:00,0
6/3/2011,19:00,0
6/4/2011,1:00,0
6/4/2011,7:00,0
6/4/2011,13:00,0
6/4/2011,19:00,0
6/5/2011,1:00,0
6/5/2011,7:00,0
6/5/2011,13:00,0
6/5/2011,19:00,0
6/6/2011,1:00,0
6/6/2011,7:00,0
6/6/2011,13:00,0
6/6/2011,19:00,0
6/7/2011,1:00,0
6/7/2011,7:00,0
6/7/2011,13:00,0
6/7/2011,19:00,0
6/8/2011,1:00,0
6/8/2011,7:00,0
6/8/2011,13:00,0
6/8/2011,19:00,0
6/9/2011,1:00,0
6/9/2011,7:00,0
6/9/2011,13:00,0
6/9/2011,19:00,0
6/10/2011,1:00,0
6/10/2011,7:00,0
6/10/2011,13:00,0
6/10/2011,19:00,0
6/11/2011,1:00,0
6/11/2011,7:00,0
6/11/2011,13:00,0.03
6/11/2011,19:00,0
6/12/2011,1:00,0.02
6/12/2011,7:00,0
6/12/2011,13:00,0
6/12/2011,19:00,0.32
6/13/2011,1:00,0.44
6/13/2011,7:00,0
6/13/2011,13:00,0
6/13/2011,19:00,0
6/14/2011,1:00,0
6/14/2011,7:00,0
6/14/2011,13:00,0
6/14/2011,19:00,0.22
6/15/2011,1:00,0.13
6/15/2011,7:00,0
6/15/2011,13:00,0
6/15/2011,19:00,0
6/16/2011,1:00,0
6/16/2011,7:00,0
6/16/2011,13:00,0
6/16/2011,19:00,0.31
6/17/2011,1:00,0.82
6/17/2011,7:00,0
6/17/2011,13:00,0.01
6/17/2011,19:00,0.11
6/18/2011,1:00,0
6/18/2011,7:00,0
6/18/2011,13:00,0.16
6/18/2011,19:00,0
6/19/2011,1:00,0.01
6/19/2011,7:00,0.44
6/19/2011,13:00,0
6/19/2011,19:00,0.01
6/20/2011,1:00,0
6/20/2011,7:00,0.69
6/20/2011,13:00,0.71
6/20/2011,19:00,0.01
6/21/2011,1:00,0
6/21/2011,7:00,0.42
6/21/2011,13:00,0
6/21/2011,19:00,0
6/22/2011,1:00,0
6/22/2011,7:00,0
6/22/2011,13:00,0
6/22/2011,19:00,0
6/23/2011,1:00,0
6/23/2011,7:00,0
6/23/2011,13:00,0.11
6/23/2011,19:00,0.03
6/24/2011,1:00,0
6/24/2011,7:00,0
6/24/2011,13:00,0
6/24/2011,19:00,0.01
6/25/2011,1:00,0
6/25/2011,7:00,0
6/25/2011,13:00,0
6/25/2011,19:00,0
6/26/2011,1:00,0
6/26/2011,7:00,0
6/26/2011,13:00,0
6/26/2011,19:00,0
6/27/2011,1:00,0
6/27/2011,7:00,0.01
6/27/2011,13:00,0
6/27/2011,19:00,0
6/28/2011,1:00,0
6/28/2011,7:00,0
6/28/2011,13:00,0
6/28/2011,19:00,0.01
6/29/2011,1:00,0
6/29/2011,7:00,0
6/29/2011,13:00,0
6/29/2011,19:00,0
6/30/2011,1:00,0
6/30/2011,7:00,0
6/30/2011,13:00,0
6/30/2011,19:00,0
7/1/2011,1:00,0
7/1/2011,7:00,0
7/1/2011,13:00,0
7/1/2011,19:00,0
7/2/2011,1:00,0
7/2/2011,7:00,0
7/2/2011,13:00,0
7/2/2011,19:00,0
7/3/2011,1:00,0
7/3/2011,7:00,0.03
7/3/2011,13:00,0.39
7/3/2011,19:00,0
7/4/2011,1:00,0
7/4/2011,7:00,0
7/4/2011,13:00,0
7/4/2011,19:00,0
7/5/2011,1:00,0
7/5/2011,7:00,0
7/5/2011,13:00,0.07
7/5/2011,19:00,0
7/6/2011,1:00,0.07
7/6/2011,7:00,0
7/6/2011,13:00,0
7/6/2011,19:00,0
7/7/2011,1:00,0
7/7/2011,7:00,0
7/7/2011,13:00,0
7/7/2011,19:00,0
7/8/2011,1:00,0
7/8/2011,7:00,0
7/8/2011,13:00,0
7/8/2011,19:00,2.49
7/9/2011,1:00,0.18
7/9/2011,7:00,0
7/9/2011,13:00,0
7/9/2011,19:00,0
7/10/2011,1:00,0
7/10/2011,7:00,0
7/10/2011,13:00,0
7/10/2011,19:00,0
7/11/2011,1:00,0
7/11/2011,7:00,0
7/11/2011,13:00,0
7/11/2011,19:00,0
7/12/2011,1:00,0
7/12/2011,7:00,0
7/12/2011,13:00,0
7/12/2011,19:00,0
7/13/2011,1:00,0
7/13/2011,7:00,0
7/13/2011,13:00,0
7/13/2011,19:00,0.01
7/14/2011,1:00,0
7/14/2011,7:00,0
7/14/2011,13:00,0
7/14/2011,19:00,0
7/15/2011,1:00,0
7/15/2011,7:00,0
7/15/2011,13:00,0
7/15/2011,19:00,0
7/16/2011,1:00,0
7/16/2011,7:00,0
7/16/2011,13:00,0
7/16/2011,19:00,0
7/17/2011,1:00,0
7/17/2011,7:00,0
7/17/2011,13:00,0
7/17/2011,19:00,0
7/18/2011,1:00,0
7/18/2011,7:00,0
7/18/2011,13:00,0
7/18/2011,19:00,0
7/19/2011,1:00,0
7/19/2011,7:00,0
7/19/2011,13:00,0.02
7/19/2011,19:00,0.6
7/20/2011,1:00,1.43
7/20/2011,7:00,0
7/20/2011,13:00,0.05
7/20/2011,19:00,0
7/21/2011,1:00,0
7/21/2011,7:00,0
7/21/2011,13:00,0
7/21/2011,19:00,0
7/22/2011,1:00,0
7/22/2011,7:00,0
7/22/2011,13:00,0
7/22/2011,19:00,0
7/23/2011,1:00,0
7/23/2011,7:00,0
7/23/2011,13:00,0.03
7/23/2011,19:00,0
7/24/2011,1:00,0
7/24/2011,7:00,0
7/24/2011,13:00,0
7/24/2011,19:00,0
7/25/2011,1:00,0.17
7/25/2011,7:00,0
7/25/2011,13:00,0.14
7/25/2011,19:00,1.63
7/26/2011,1:00,0
7/26/2011,7:00,0
7/26/2011,13:00,0
7/26/2011,19:00,0
7/27/2011,1:00,0
7/27/2011,7:00,0
7/27/2011,13:00,0
7/27/2011,19:00,0
7/28/2011,1:00,0
7/28/2011,7:00,0
7/28/2011,13:00,0
7/28/2011,19:00,0
7/29/2011,1:00,0
7/29/2011,7:00,0
7/29/2011,13:00,0
7/29/2011,19:00,0
7/30/2011,1:00,0
7/30/2011,7:00,0
7/30/2011,13:00,0
7/30/2011,19:00,0
7/31/2011,1:00,0
7/31/2011,7:00,0
7/31/2011,13:00,0
7/31/2011,19:00,0
8/1/2011,1:00,0
8/1/2011,7:00,0
8/1/2011,13:00,0
8/1/2011,19:00,0
8/2/2011,1:00,0
8/2/2011,7:00,0
8/2/2011,13:00,0
8/2/2011,19:00,0
8/3/2011,1:00,0
8/3/2011,7:00,0
8/3/2011,13:00,0.1
8/3/2011,19:00,0
8/4/2011,1:00,0
8/4/2011,7:00,0.44
8/4/2011,13:00,0
8/4/2011,19:00,0.02
8/5/2011,1:00,0
8/5/2011,7:00,0
8/5/2011,13:00,0
8/5/2011,19:00,0
8/6/2011,1:00,0
8/6/2011,7:00,0
8/6/2011,13:00,0
8/6/2011,19:00,1.17
8/7/2011,1:00,1.35
8/7/2011,7:00,0
8/7/2011,13:00,0.01
8/7/2011,19:00,0.28
8/8/2011,1:00,0
8/8/2011,7:00,0
8/8/2011,13:00,0
8/8/2011,19:00,0
8/9/2011,1:00,0
8/9/2011,7:00,0
8/9/2011,13:00,0
8/9/2011,19:00,0
8/10/2011,1:00,0
8/10/2011,7:00,0
8/10/2011,13:00,0
8/10/2011,19:00,0
8/11/2011,1:00,0
8/11/2011,7:00,0
8/11/2011,13:00,0
8/11/2011,19:00,0
8/12/2011,1:00,0
8/12/2011,7:00,0
8/12/2011,13:00,0
8/12/2011,19:00,0
8/13/2011,1:00,0
8/13/2011,7:00,0
8/13/2011,13:00,0.42
8/13/2011,19:00,0.19
8/14/2011,1:00,0.3
8/14/2011,7:00,0
8/14/2011,13:00,2.1
8/14/2011,19:00,1.5
8/15/2011,1:00,0
8/15/2011,7:00,0.13
8/15/2011,13:00,2.12
8/15/2011,19:00,2.31
8/16/2011,1:00,0.03
8/16/2011,7:00,0
8/16/2011,13:00,0
8/16/2011,19:00,0.84
8/17/2011,1:00,0
8/17/2011,7:00,0
8/17/2011,13:00,0
8/17/2011,19:00,0
8/18/2011,1:00,0
8/18/2011,7:00,0
8/18/2011,13:00,0
8/18/2011,19:00,0
8/19/2011,1:00,0.3
8/19/2011,7:00,0
8/19/2011,13:00,0
8/19/2011,19:00,0
8/20/2011,1:00,0
8/20/2011,7:00,0
8/20/2011,13:00,0
8/20/2011,19:00,0
8/21/2011,1:00,0
8/21/2011,7:00,0
8/21/2011,13:00,1.16
8/21/2011,19:00,0.06
8/22/2011,1:00,0
8/22/2011,7:00,0
8/22/2011,13:00,0
8/22/2011,19:00,0
8/23/2011,1:00,0
8/23/2011,7:00,0
8/23/2011,13:00,0
8/23/2011,19:00,0
8/24/2011,1:00,0
8/24/2011,7:00,0
8/24/2011,13:00,0
8/24/2011,19:00,0
8/25/2011,1:00,0
8/25/2011,7:00,0
8/25/2011,13:00,1.35
8/25/2011,19:00,1.63
8/26/2011,1:00,0
8/26/2011,7:00,0
8/26/2011,13:00,0
8/26/2011,19:00,0.19
8/27/2011,1:00,0
8/27/2011,7:00,0.03
8/27/2011,13:00,0.03
8/27/2011,19:00,1.85
8/28/2011,1:00,7.06
8/28/2011,7:00,5.71
8/28/2011,13:00,0.82
8/28/2011,19:00,0
8/29/2011,1:00,0
8/29/2011,7:00,0
8/29/2011,13:00,0
8/29/2011,19:00,0
8/30/2011,1:00,0
8/30/2011,7:00,0
8/30/2011,13:00,0
8/30/2011,19:00,0
8/31/2011,1:00,0
8/31/2011,7:00,0
8/31/2011,13:00,0
8/31/2011,19:00,0
9/1/2011,1:00,0
9/1/2011,7:00,0
9/1/2011,13:00,0
9/1/2011,19:00,0
9/2/2011,1:00,0
9/2/2011,7:00,0.22
9/2/2011,13:00,0
9/2/2011,19:00,0
9/3/2011,1:00,0
9/3/2011,7:00,0
9/3/2011,13:00,0.03
9/3/2011,19:00,0.02
9/4/2011,1:00,0
9/4/2011,7:00,0
9/4/2011,13:00,0
9/4/2011,19:00,0
9/5/2011,1:00,0
9/5/2011,7:00,0.03
9/5/2011,13:00,0.26
9/5/2011,19:00,1.21
9/6/2011,1:00,1.43
9/6/2011,7:00,0.43
9/6/2011,13:00,0.43
9/6/2011,19:00,0.37
9/7/2011,1:00,0.62
9/7/2011,7:00,0.14
9/7/2011,13:00,2.94
9/7/2011,19:00,1.7
9/8/2011,1:00,6.61
9/8/2011,7:00,7.66
9/8/2011,13:00,3.57
9/8/2011,19:00,0.98
9/9/2011,1:00,0.03
9/9/2011,7:00,0.45
9/9/2011,13:00,0.15
9/9/2011,19:00,0.77
9/10/2011,1:00,0
9/10/2011,7:00,0.04
9/10/2011,13:00,0
9/10/2011,19:00,0.96
9/11/2011,1:00,0
9/11/2011,7:00,0
9/11/2011,13:00,0
9/11/2011,19:00,0.29
9/12/2011,1:00,0.02
9/12/2011,7:00,0
9/12/2011,13:00,0
9/12/2011,19:00,0
9/13/2011,1:00,0
9/13/2011,7:00,0
9/13/2011,13:00,0
9/13/2011,19:00,0
9/14/2011,1:00,0
9/14/2011,7:00,0
9/14/2011,13:00,0
9/14/2011,19:00,0
9/15/2011,1:00,0
9/15/2011,7:00,0
9/15/2011,13:00,0.18
9/15/2011,19:00,0.48
